,harga_emas
2024-09-20,1136380.4073
2024-09-23,1131912.5027
2024-09-24,1130968.001
2024-09-25,1133430.0858
2024-09-26,1132192.0052
2024-09-27,1136239.0582
2024-09-30,1133731.9755
2024-10-01,1132865.1445
2024-10-02,1134771.0643
2024-10-03,1136922.98
2024-10-04,1139062.2596
2024-10-07,1134025.7976
2024-10-08,1135814.1154
2024-10-09,1137205.598
2024-10-10,1138795.2497
2024-10-11,1135937.5594
2024-10-14,1135891.4636
2024-10-15,1139465.8871
2024-10-16,1139564.2839
2024-10-17,1137534.7593
2024-10-18,1135310.2412
2024-10-21,1138571.0832
2024-10-22,1138877.8443
2024-10-23,1137956.9665
2024-10-24,1134498.4175
2024-10-25,1139265.3332
2024-10-28,1140318.6753
2024-10-29,1136589.557
2024-10-30,1133239.8358
2024-10-31,1134250.17
2024-11-01,1131006.6576
2024-11-04,1126477.897
2024-11-05,1124483.9417
2024-11-06,1123144.7872
2024-11-07,1122792.1683
2024-11-08,1121435.175
2024-11-11,1123204.2038
2024-11-12,1128098.6864
2024-11-13,1127082.549
2024-11-14,1131184.7181
2024-11-15,1131548.2316
2024-11-18,1132324.7098
2024-11-19,1130332.5832
2024-11-20,1137187.4337
2024-11-21,1142515.4859
2024-11-22,1143455.4607
2024-11-25,1140709.0733
2024-11-26,1140363.5783
2024-11-27,1138269.9668
2024-11-28,1139030.8278
2024-11-29,1137922.6074
2024-12-02,1140877.5829
2024-12-03,1138934.3226
2024-12-04,1144208.4615
2024-12-05,1141565.7616
2024-12-06,1143328.876
2024-12-09,1144981.8504
2024-12-10,1146236.024
2024-12-11,1142958.2567
2024-12-12,1144937.8571
2024-12-13,1145964.5969
2024-12-16,1142133.4154
2024-12-17,1140933.7702
2024-12-18,1143803.6971
2024-12-19,1144997.7419
2024-12-20,1145617.3373
2024-12-23,1144734.7809
2024-12-24,1146084.6939
2024-12-25,1147144.9492
2024-12-26,1145572.8928
2024-12-27,1144479.1694
2024-12-30,1147884.5807
2024-12-31,1148525.5708
2025-01-01,1143183.5256
2025-01-02,1145050.102
2025-01-03,1146355.6556
2025-01-06,1148962.6766
2025-01-07,1146218.9639
2025-01-08,1144700.9203
2025-01-09,1147742.6597
2025-01-10,1146785.6654
2025-01-13,1144715.9561
2025-01-14,1146686.9466
2025-01-15,1150749.3127
2025-01-16,1150787.5915
2025-01-17,1147150.2225
2025-01-20,1150150.1945
2025-01-21,1150323.3245
2025-01-22,1146380.7209
2025-01-23,1145431.3397
2025-01-24,1150197.6583
2025-01-27,1150519.712
2025-01-28,1146915.9751
2025-01-29,1144219.989
2025-01-30,1144974.1484
2025-01-31,1141228.3566
2025-02-03,1137049.0342
2025-02-04,1135322.6687
2025-02-05,1133986.7295
2025-02-06,1133622.8065
2025-02-07,1133510.265
2025-02-10,1137165.7945
2025-02-11,1139647.4696
2025-02-12,1140518.8887
2025-02-13,1141431.6756
2025-02-14,1141491.0523
2025-02-17,1139890.5818
2025-02-18,1158416.1589
2025-02-19,1157269.547
2025-02-20,1149812.85
2025-02-21,1149940.7126
2025-02-24,1148435.8426
2025-02-25,1150133.5592
2025-02-26,1145311.4281
2025-02-27,1138879.1608
2025-02-28,1135586.73
2025-03-03,1135701.3135
2025-03-04,1138027.343
2025-03-05,1136960.7368
2025-03-06,1137047.0153
2025-03-07,1138218.8725
2025-03-10,1139266.2336
2025-03-11,1138293.7632
2025-03-12,1139083.4027
2025-03-13,1136773.8612
2025-03-14,1139830.1172
2025-03-17,1142337.0111
2025-03-18,1143757.4848
2025-03-19,1146789.6702
2025-03-20,1150229.3203
2025-03-21,1148363.7796
2025-03-24,1142718.3566
2025-03-25,1148892.6901
2025-03-26,1151171.9539
2025-03-27,1150370.4728
2025-03-28,1145594.0716
2025-03-31,1144672.3117
2025-04-01,1152395.4149
2025-04-02,1155557.5148
2025-04-03,1156202.3731
2025-04-04,1160196.9331
2025-04-07,1157715.1188
2025-04-08,1153336.1221
2025-04-09,1152696.0255
2025-04-10,1147238.3203
2025-04-11,1146857.4782
2025-04-14,1145892.6875
2025-04-15,1143834.3426
2025-04-16,1141741.6917
2025-04-17,1141778.104
2025-04-18,1144231.1385
2025-04-21,1142573.292
2025-04-22,1145652.2273
2025-04-23,1144891.0728
2025-04-24,1143378.157
2025-04-25,1145525.6794
2025-04-28,1144613.9581
2025-04-29,1144533.7923
2025-04-30,1148239.3268
2025-05-01,1153975.0975
2025-05-02,1157588.5172
2025-05-05,1159159.8861
2025-05-06,1161876.7203
2025-05-07,1162862.3989
2025-05-08,1163839.498
2025-05-09,1160893.7853
2025-05-12,1158624.1245
2025-05-13,1161260.2233
2025-05-14,1162328.979
2025-05-15,1164652.1525
2025-05-16,1160437.0805
2025-05-19,1163919.5716
2025-05-20,1164472.1785
2025-05-21,1160413.4893
2025-05-22,1159063.6566
2025-05-23,1162655.7944
2025-05-26,1163437.6048
2025-05-27,1167977.0674
2025-05-28,1155168.2376
2025-05-29,1154790.9084
2025-05-30,1149051.7106
2025-06-02,1148379.1307
2025-06-03,1146086.0167
2025-06-04,1145499.6233
2025-06-05,1149334.84
2025-06-06,1146740.8963
2025-06-09,1149962.2306
2025-06-10,1152936.9326
2025-06-11,1157056.1176
2025-06-12,1157938.9831
2025-06-13,1155401.0957
2025-06-16,1155099.2101
2025-06-17,1155388.1923
2025-06-18,1157460.4284
2025-06-19,1156629.997
2025-06-20,1156656.6834
2025-06-23,1157815.1497
2025-06-24,1156599.4839
2025-06-25,1155575.0184
2025-06-26,1156751.4062
2025-06-27,1156876.7869
2025-06-30,1157218.4839
2025-07-01,1157737.3103
2025-07-02,1158226.3952
2025-07-03,1155398.0021
2025-07-04,1156983.4456
2025-07-07,1158121.3942
2025-07-08,1158999.2429
2025-07-09,1158182.5065
2025-07-10,1158910.8363
2025-07-11,1163864.2252
2025-07-14,1161727.146
2025-07-15,1156714.0966
2025-07-16,1158804.0402
2025-07-17,1159427.1137
2025-07-18,1159707.7203
2025-07-21,1154357.2416
2025-07-22,1156246.1261
2025-07-23,1162986.7104
2025-07-24,1164011.8577
2025-07-25,1165212.0896
2025-07-28,1162925.666
2025-07-29,1157395.302
2025-07-30,1157804.6196
2025-07-31,1160413.4221
2025-08-01,1163088.0332
2025-08-04,1162860.5159
2025-08-05,1161510.2257
2025-08-06,1167399.4967
2025-08-07,1173090.7215
2025-08-08,1171302.2013
2025-08-11,1170288.7376
2025-08-12,1171782.1417
2025-08-13,1171485.034
2025-08-14,1173145.5792
2025-08-15,1169380.0781
2025-08-18,1170511.0834
2025-08-19,1172346.2692
2025-08-20,1177081.9677
2025-08-21,1174768.3399
2025-08-22,1173407.7675
