tanggal,harga_emas,kurs_jual,kurs_beli,data_inflasi,suku_bunga_bi,new_cases,new_deaths
2021-06-04,949000,14368.49,14225.52,0.013300000000000001,3.5,6486.0,201.0
2021-06-05,960000,,,0.013300000000000001,3.5,6594.0,153.0
2021-06-06,960000,,,0.013300000000000001,3.5,5832.0,163.0
2021-06-07,959000,14387.58,14244.42,0.013300000000000001,3.5,6993.0,191.0
2021-06-08,960000,14342.36,14199.65,0.013300000000000001,3.5,6294.0,189.0
2021-06-09,957000,14333.31,14190.69,0.013300000000000001,3.5,7725.0,170.0
2021-06-10,954000,14333.31,14190.69,0.013300000000000001,3.5,8892.0,211.0
2021-06-11,957000,14311.2,14168.8,0.013300000000000001,3.5,8083.0,193.0
2021-06-12,948000,,,0.013300000000000001,3.5,7465.0,164.0
2021-06-13,948000,,,0.013300000000000001,3.5,9868.0,149.0
2021-06-14,945000,14277.03,14134.97,0.013300000000000001,3.5,8189.0,237.0
2021-06-15,943000,14293.11,14150.89,0.013300000000000001,3.5,8161.0,164.0
2021-06-16,940000,14315.22,14172.78,0.013300000000000001,3.5,9944.0,196.0
2021-06-17,928000,14328.29,14185.72,0.013300000000000001,3.5,12624.0,277.0
2021-06-18,920000,14449.89,14306.11,0.013300000000000001,3.5,12990.0,290.0
2021-06-19,920000,,,0.013300000000000001,3.5,12906.0,248.0
2021-06-20,920000,,,0.013300000000000001,3.5,13737.0,371.0
2021-06-21,923000,14475.02,14330.99,0.013300000000000001,3.5,14536.0,294.0
2021-06-22,932000,14525.27,14380.74,0.013300000000000001,3.5,13668.0,335.0
2021-06-23,930000,14493.11,14348.9,0.013300000000000001,3.5,15308.0,303.0
2021-06-24,932000,14526.27,14381.73,0.013300000000000001,3.5,20574.0,355.0
2021-06-25,932000,14534.31,14389.69,0.013300000000000001,3.5,18872.0,422.0
2021-06-26,934000,,,0.013300000000000001,3.5,21095.0,358.0
2021-06-27,934000,,,0.013300000000000001,3.5,21342.0,409.0
2021-06-28,933000,14519.24,14374.77,0.013300000000000001,3.5,20694.0,423.0
2021-06-29,932000,14544.36,14399.64,0.013300000000000001,3.5,20467.0,463.0
2021-06-30,927000,14568.48,14423.52,0.013300000000000001,3.5,21807.0,467.0
2021-07-01,932000,14614.71,14469.29,0.0152,3.5,24836.0,504.0
2021-07-02,935000,14611.7,14466.31,0.0152,3.5,25830.0,539.0
2021-07-03,942000,,,0.0152,3.5,27913.0,493.0
2021-07-04,942000,,,0.0152,3.5,27233.0,555.0
2021-07-05,941000,14636.82,14491.18,0.0152,3.5,29745.0,558.0
2021-07-06,939000,14554.41,14409.59,0.0152,3.5,31189.0,728.0
2021-07-07,940000,14540.34,14395.66,0.0152,3.5,34379.0,1040.0
2021-07-08,945000,14572.5,14427.5,0.0152,3.5,38391.0,852.0
2021-07-09,947000,14620.74,14475.26,0.0152,3.5,38124.0,871.0
2021-07-10,950000,,,0.0152,3.5,35094.0,826.0
2021-07-12,950000,14620.74,14475.26,0.0152,3.5,40427.0,891.0
2021-07-13,946000,14558.43,14413.57,0.0152,3.5,47899.0,864.0
2021-07-14,945000,14558.43,14413.57,0.0152,3.5,54517.0,991.0
2021-07-15,953000,14565.47,14420.54,0.0152,3.5,56757.0,982.0
2021-07-16,956000,14575.52,14430.49,0.0152,3.5,54000.0,1205.0
2021-07-17,949000,,,0.0152,3.5,51952.0,1092.0
2021-07-19,950000,14589.59,14444.42,0.0152,3.5,34257.0,1338.0
2021-07-21,947000,14596.62,14451.38,0.0152,3.5,33772.0,1383.0
2021-07-22,946000,14626.77,14481.23,0.0152,3.5,49509.0,1449.0
2021-07-23,946000,14580.54,14435.46,0.0152,3.5,49071.0,1566.0
2021-07-24,943000,,,0.0152,3.5,45416.0,1415.0
2021-07-26,942000,14573.51,14428.5,0.0152,3.5,28228.0,1487.0
2021-07-27,940000,14566.47,14421.53,0.0152,3.5,45203.0,2069.0
2021-07-28,940000,14561.45,14416.56,0.0152,3.5,47791.0,1824.0
2021-07-29,945000,14570.49,14425.51,0.0152,3.5,43479.0,1893.0
2021-07-30,953000,14563.46,14418.55,0.0152,3.5,41168.0,1759.0
2021-07-31,948000,,,0.0152,3.5,37284.0,1808.0
2021-08-02,948000,14534.31,14389.69,0.0159,3.5,22404.0,1568.0
2021-08-03,948000,14528.28,14383.72,0.0159,3.5,33900.0,1598.0
2021-08-04,943000,14433.81,14290.19,0.0159,3.5,35867.0,1747.0
2021-08-05,941000,14395.62,14252.38,0.0159,3.5,35764.0,1739.0
2021-08-06,939000,14413.71,14270.29,0.0159,3.5,39532.0,1635.0
2021-08-07,931000,,,0.0159,3.5,31753.0,1588.0
2021-08-09,921000,14440.85,14297.16,0.0159,3.5,20709.0,1475.0
2021-08-10,925000,14449.89,14306.11,0.0159,3.5,32081.0,2048.0
2021-08-12,932000,14468.99,14325.02,0.0159,3.5,24709.0,1466.0
2021-08-13,932000,14460.95,14317.06,0.0159,3.5,30788.0,1432.0
2021-08-14,942000,,,0.0159,3.5,28598.0,1270.0
2021-08-16,942000,14459.94,14316.06,0.0159,3.5,17384.0,1245.0
2021-08-18,946000,14454.92,14311.09,0.0159,3.5,15768.0,1128.0
2021-08-19,947000,14455.92,14312.08,0.0159,3.5,22053.0,1492.0
2021-08-20,946000,14486.07,14341.93,0.0159,3.5,20004.0,1348.0
