           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"BI Rate";"Tidak Ada";2012;November;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Desember;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Januari;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2011;Februari;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Maret;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;April;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Mei;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Juni;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Juli;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Agustus;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;September;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Oktober;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2011;November;6;"BI Rate"
"BI Rate";"Tidak Ada";2011;Desember;6;"BI Rate"
"BI Rate";"Tidak Ada";2010;Januari;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Februari;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Maret;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;April;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Mei;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Juni;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Juli;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Agustus;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;September;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Oktober;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;November;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Desember;6.5;"BI Rate"
