tanggal,harga_emas,kurs_dolar_rp
2015-05-05,498441.0,12993.0
2015-05-06,499280.0,13040.0
2015-05-07,497087.0,13065.0
2015-05-08,503381.0,13177.0
2015-05-09,503297.0,13177.0
2015-05-10,503297.0,13177.0
2015-05-11,499069.0,13116.0
2015-05-12,507006.0,13203.0
2015-05-13,516098.0,13188.0
2015-05-14,519193.0,13188.0
2015-05-15,515587.0,13090.0
2015-05-16,515293.0,13090.0
2015-05-17,515293.0,13090.0
2015-05-18,517792.0,13116.0
2015-05-19,512215.0,13183.0
2015-05-20,512052.0,13169.0
2015-05-21,509326.0,13150.0
2015-05-22,509586.0,13136.0
2015-05-23,509502.0,13136.0
2015-05-24,509502.0,13136.0
2015-05-25,511865.0,13186.0
2015-05-26,503573.0,13192.0
2015-05-27,504687.0,13229.0
2015-05-28,504409.0,13205.0
2015-05-29,505190.0,13211.0
2015-05-30,505615.0,13211.0
2015-05-31,505615.0,13211.0
2015-06-01,506810.0,13230.0
2015-06-02,507618.0,13230.0
2015-06-03,501350.0,13196.0
2015-06-04,500495.0,13243.0
2015-06-05,499120.0,13288.0
2015-06-06,501043.0,13288.0
2015-06-07,501043.0,13288.0
2015-06-08,503843.0,13360.0
2015-06-09,505895.0,13362.0
2015-06-10,508974.0,13329.0
2015-06-11,504527.0,13292.0
2015-06-12,505262.0,13317.0
2015-06-13,505904.0,13317.0
2015-06-14,505904.0,13317.0
2015-06-15,509727.0,13333.0
2015-06-16,506469.0,13333.0
2015-06-17,505697.0,13367.0
2015-06-18,515051.0,13341.0
2015-06-19,515251.0,13324.0
2015-06-20,514566.0,13324.0
2015-06-21,514566.0,13324.0
2015-06-22,507612.0,13318.0
2015-06-23,504539.0,13316.0
2015-06-24,501296.0,13280.0
2015-06-25,502362.0,13323.0
2015-06-26,503485.0,13338.0
2015-06-27,503528.0,13338.0
2015-06-28,503528.0,13338.0
2015-06-29,506183.0,13356.0
2015-06-30,504030.0,13332.0
2015-07-01,501807.0,13331.0
2015-07-02,499546.0,13337.0
2015-07-03,500386.0,13316.0
2015-07-04,500386.0,13316.0
2015-07-05,500386.0,13316.0
2015-07-06,501433.0,13353.0
2015-07-07,495222.0,13313.0
2015-07-08,498338.0,13346.0
2015-07-09,498290.0,13347.0
2015-07-10,496214.0,13304.0
2015-07-11,497882.0,13304.0
2015-07-12,497882.0,13304.0
2015-07-13,495031.0,13309.0
2015-07-14,494712.0,13320.0
2015-07-15,491618.0,13329.0
2015-07-16,490804.0,13329.0
2015-07-17,485918.0,13329.0
2015-07-18,485961.0,13329.0
2015-07-19,485961.0,13329.0
2015-07-20,475291.0,13329.0
2015-07-21,474348.0,13329.0
2015-07-22,470320.0,13368.0
2015-07-23,471709.0,13394.0
2015-07-24,469633.0,13448.0
2015-07-25,475773.0,13448.0
2015-07-26,475773.0,13448.0
2015-07-27,474911.0,13453.0
2015-07-28,474206.0,13460.0
2015-07-29,473643.0,13444.0
2015-07-30,471804.0,13468.0
2015-07-31,474773.0,13481.0
2015-08-01,474773.0,13481.0
2015-08-02,474773.0,13481.0
2015-08-03,473338.0,13492.0
2015-08-04,474225.0,13495.0
2015-08-05,471869.0,13517.0
2015-08-06,475289.0,13529.0
2015-08-07,476362.0,13536.0
