,input_size,tft_mae
172,173,39696.287811944174
96,97,40106.75311920641
208,209,40539.605825796374
95,96,41035.4328393947
179,180,41060.09142073079
105,106,41193.6543352106
90,91,41227.258480085075
154,155,41479.88561529145
126,127,41610.83866246573
157,158,41694.76460326217
188,189,41724.56551916029
124,125,41909.37193913937
32,33,41933.44182669167
107,108,42252.123769683305
156,157,42259.270552529946
50,51,42334.62043547828
82,83,42351.158419264895
224,225,42407.64854740297
39,40,42432.28557669167
35,36,42899.1692562213
226,227,42967.943576304984
212,213,43068.67984722548
119,120,43178.74411239285
24,25,43226.03647640959
128,129,43880.24659670247
193,194,43981.00620705812
151,152,44152.26447250903
108,109,44358.290474745285
33,34,44580.146254033985
92,93,44709.57394754863
34,35,45070.55243865742
97,98,45123.46921428503
152,153,45224.22740399439
81,82,45331.316494619765
76,77,45485.348202255744
104,105,45572.0674752683
87,88,45988.007263448206
191,192,46008.27975298795
165,166,46285.31455096091
225,226,46431.969085266326
228,229,46464.86199844624
20,21,46489.50484624958
83,84,46491.03831905293
86,87,46524.32172647971
42,43,46581.92554447134
41,42,46774.43652773494
77,78,47111.91639175168
164,165,47717.90640504041
223,224,48080.88311912184
23,24,48270.429536485855
150,151,48399.069846463004
163,164,48503.56127027247
19,20,48964.700783870794
227,228,49045.0318508164
106,107,49259.06323156954
114,115,49325.90645855699
78,79,49459.80179066996
125,126,49555.5151797913
197,198,49586.872005105106
213,214,49600.002888996314
52,53,49637.54505688335
26,27,50096.30878596284
153,154,50102.48178422451
51,52,50135.89763272017
84,85,50144.27230583732
85,86,50229.445357615565
59,60,50838.84487382895
60,61,51144.817546423095
58,59,51192.15822372435
56,57,51295.25818449841
215,216,51459.168291715985
158,159,51460.52597878518
57,58,51590.179667239
54,55,51834.71242090008
46,47,52129.912669331046
231,232,52142.58107937289
234,235,52439.14822110929
18,19,52570.64952864067
55,56,52595.06146640218
45,46,52617.383446004686
21,22,52737.404301130206
28,29,52858.07120751096
232,233,53034.61559820134
216,217,53091.926921423095
214,215,53120.29996012602
47,48,53334.539696004686
160,161,53578.97289301112
44,45,53951.24726661138
210,211,54722.63619182059
159,160,54754.29533024962
233,234,54988.87023993774
43,44,55068.18783931013
9,10,55654.134230523516
229,230,56101.81708878711
65,66,57037.72928805489
48,49,57037.90966200887
13,14,57064.8654674482
211,212,57416.16181943565
66,67,57475.708759812216
1,2,57751.659465879166
12,13,57768.787865460756
67,68,57874.933720586276
29,30,57877.43352445657
53,54,57939.33219077456
15,16,58104.69372320134
27,28,58330.29741043983
49,50,58385.20281054443
31,32,58858.850169331046
14,15,58910.959413577904
6,7,59279.66757257372
192,193,59359.787080941926
5,6,59365.84474307582
230,231,60014.31401608837
10,11,60441.18339370343
7,8,60728.420122259915
178,179,60728.56623889171
131,132,60747.12533931013
2,3,61124.35461493774
3,4,61272.15573941473
190,191,63009.630242552805
4,5,63021.98628334778
235,236,63528.10468031431
109,110,64085.24530531431
8,9,64213.98968292937
237,238,64305.517664100924
16,17,64629.63769548167
217,218,65214.79289945657
11,12,67551.04930636034
0,1,68551.83912069089
238,239,68768.78577341055
195,196,69410.19849569089
218,219,70143.96922006326
132,133,70360.68868920553
30,31,71254.72752288754
40,41,72076.66436912185
116,117,74949.08454433105
129,130,75678.91606891264
161,162,75787.37239736452
146,147,76075.65698156954
22,23,76458.0139376365
221,222,76558.71758564905
222,223,76761.85814527248
220,221,76770.42685604653
236,237,79140.26609506327
17,18,81654.27818972855
219,220,82736.56571587917
239,240,89310.035250398
240,241,90127.82794129758
241,242,103943.79374935197
242,243,104430.3532420298
252,253,111321.9799418206
253,254,112329.7639376365
254,255,112358.26465677875
244,245,112889.72091985407
243,244,114379.3340213185
250,251,114438.7347796867
258,259,114572.88324987498
251,252,114996.88527654862
255,256,115449.06172790845
257,258,115867.55597477038
246,247,116166.9666050005
260,261,117034.90534715532
259,260,117179.5867671344
261,262,118671.49772424737
256,257,120820.48634872436
247,248,121657.03211232269
262,263,122333.2862964231
266,267,123850.69202341055
263,264,124402.59153962394
264,265,124880.76812173691
169,170,126096.88383826411
265,266,126404.11638272018
278,279,132862.3348712139
279,280,133690.97628073272
268,269,134252.4129962139
276,277,134530.20640625575
284,285,134792.3238879503
277,278,134984.62213585826
248,249,135235.22856891263
249,250,135474.17077602562
288,289,135685.65691619297
285,286,135735.6609041637
286,287,135745.18306682058
287,288,135761.5376039545
289,290,136262.27753596284
269,270,137088.07205740636
283,284,138146.74504380804
280,281,138916.20418345238
304,305,139152.4507838708
298,299,140534.47013533523
302,303,141704.19640364067
303,304,141806.20209140217
275,276,141923.95588324318
281,282,142076.03832309676
267,268,142306.78642717624
306,307,142353.96307466578
282,283,142900.7162127411
305,306,144054.2757707955
308,309,145126.31767717624
